GateV,DrainV,VssV,BodyV,VddV,DrainI,GateI,VssI,BodyI,VddI,TempK,GNDV
0.58,0.04,0,-0.4,0.8,0.0009484,7.942000000000001e-11,-0.000943,-4.41e-12,-1.8900000000000002e-12,8.5,0
0.6,0.04,0,-0.4,0.8,0.0011574,8.608e-11,-0.0011538,-3.9300000000000004e-12,-2.28e-12,8.5,0
0.62,0.04,0,-0.4,0.8,0.0013648,9.474e-11,-0.0013584,-3.51e-12,-5.1e-13,8.5,0
0.64,0.04,0,-0.4,0.8,0.0015586,1.0116e-10,-0.001553,-3.740000000000001e-12,1.4200000000000002e-12,8.5,0
0.66,0.04,0,-0.4,0.8,0.0017424,1.2814e-10,-0.0017444,-3.53e-12,7.800000000000002e-13,8.5,0
0.68,0.04,0,-0.4,0.8,0.0019168,1.5915e-10,-0.0019176,-3.2600000000000002e-12,3.0000000000000005e-14,8.5,0
0.7,0.04,0,-0.4,0.8,0.0020708,1.9086000000000003e-10,-0.0020754,-2.7100000000000004e-12,1.27e-12,8.5,0
0.72,0.04,0,-0.4,0.8,0.0022058,2.1911e-10,-0.0022232,-2.9e-12,-4.2000000000000003e-13,8.5,0
0.74,0.04,0,-0.4,0.8,0.0023528,2.7945e-10,-0.0023468,-4.190000000000001e-12,-3e-12,8.5,0
0.76,0.04,0,-0.4,0.8,0.002472,3.4471000000000004e-10,-0.0024444,-3.640000000000001e-12,-1e-12,8.5,0
0.78,0.04,0,-0.4,0.8,0.0025756,3.8359e-10,-0.0025508,-3.71e-12,2.2000000000000003e-12,8.5,0
0.8,0.04,0,-0.4,0.8,0.0026418,4.4286e-10,-0.0026674,-3.1e-12,3.9300000000000004e-12,8.5,0
0.0,0.06,0,-0.4,0.8,4.72e-12,-1.18e-12,4.340000000000001e-12,-4.77e-12,1.18e-12,8.5,0
0.02,0.06,0,-0.4,0.8,5.050000000000001e-12,-1.386e-11,-3.2100000000000007e-12,-4.750000000000001e-12,1.4e-12,8.5,0
0.04,0.06,0,-0.4,0.8,2.4500000000000007e-12,-1.8820000000000003e-11,-6.330000000000001e-12,-4.750000000000001e-12,1.2400000000000002e-12,8.5,0
0.06,0.06,0,-0.4,0.8,5.29e-12,-7.95e-12,-9.82e-12,-4.63e-12,4.9e-13,8.5,0
0.08,0.06,0,-0.4,0.8,1.59e-12,-6.4e-12,-2.26e-12,-4.68e-12,-4.3000000000000004e-13,8.5,0
0.1,0.06,0,-0.4,0.8,3.7e-12,-2.4000000000000004e-13,-2.6600000000000004e-12,-4.610000000000001e-12,-5.800000000000002e-13,8.5,0
